Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
blastnMouse.Locus_39995	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0
ENSGALG00000014538	4.27	2.79	3.38	6.67	5.4	4.28	2.97	5.69	2.44	6.38	3.94	6.38	5.77	7.05	4.76	5.62
Locus_46756	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.39	1.13	3.27
ENSGALG00000001663	18.07	16.24	56.16	18.74	14.79	48.3	31.63	39.19	21.34	24.96	19.73	93.52	44.52	6.6	12.75	39.98
ENSGALG00000003138	0	0.26	0	0	0.13	1.56	2.98	2.06	2.24	0.23	0	0.08	0.2	3.49	1.27	0.3
Locus_20270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
ENSGALG00000013821	4.46	5.11	4.83	3.71	3.71	8.83	4.23	12.39	16.34	13.26	22.47	9.75	9.5	93.8	88.55	84.84
ENSGALG00000022039	10.04	0	0	15.79	0	0	0	0	0	0.2	0	0.37	0.4	0	0	0
ENSGALG00000011640	0	0	0	0	0	0	0	1.65	0.88	0	0	0.37	9.01	0.12	0.11	0.56
ENSGALG00000009581	6.81	7.23	19.95	8.93	7.54	7.22	6.05	12.27	13.97	6.66	3.32	41.16	11	31.84	85.98	158.77
Locus_20543	0	0	0.09	0	0	0	0	0	0	0	0	0	0	5.32	1.36	0.78
Locus_84412	1.25	0.63	0	0	0	0	0	0	0	2.23	4.94	0	0	0	0	0
ENSGALG00000021247	10.13	13.6	5.94	10.14	10.15	13.99	18.63	8.68	12.52	9.99	14.1	7.75	15.8	16.29	10.62	7.62
Locus_127503	3.86	3.15	0.75	0.27	0.21	0.33	0	0.2	0.12	0	0	0.04	0.05	0.45	0.18	0.28
Locus_6373	0.17	0.13	0.07	6.18	3.31	0	0	0.56	0.28	0.22	0	7.46	2.38	2.92	2.23	0.46
ENSGALG00000024425	0.88	0	0	0.9	0.69	0.54	0.65	0.98	2.35	0.4	1	0.33	1.76	0.84	0.61	0.13
ENSGALG00000011681	0.87	1.33	0.7	1.6	3.38	1.61	1.58	14.94	15.18	15.82	7.53	1.58	1.97	19.25	27.81	22.93
Locus_82105	0.18	0	0.09	1.75	0.21	5.45	1.1	0.05	0.12	1.03	1.77	0.15	0.19	0.06	0.28	0.11
Locus_118847	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21	0.47	6.87
ENSGALG00000015122	0.86	0.83	0.5	0.55	1.19	1	0.4	0.5	0.54	0.18	0.46	0.14	0.32	4.83	3.03	3.53
blastnPlatypus.Locus_164202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0
ENSGALG00000006132	10.58	12.19	18.94	10.78	10.28	20.5	26.45	10.01	11.93	41.99	47.2	11.11	14.42	6.79	10.78	12.31
ENSGALG00000015271	29.7	35.14	250.36	0.5	1.27	21.33	10.16	5.47	3.06	2.57	1.3	74.87	16.27	0.16	1.12	4.44
ENSGALG00000012420	7.56	6.08	2.19	0.85	3.1	31.42	16.25	8.16	26	4.22	8.56	37.03	187.06	5.54	4.03	4.72
ENSGALG00000011535	0.75	0.92	1.21	0.4	0.69	1.51	0.79	4.7	5.21	5.06	4.29	5.28	5	1.27	2.07	2.27
CUFF.56179	0.85	0.65	1	0	0	0	0	0	0	0	0	0.02	0	1.97	1.6	2.25
ENSGALG00000005643	2.14	2.06	6.72	0.16	0.37	3.23	3.86	1.32	2.96	4.9	6.47	10.61	18.01	2.89	4.08	5.65
ENSGALG00000010103	38.47	35.53	103.19	40.42	40.89	21.88	24.76	9.44	8.06	5.52	6.99	58.92	16.69	50.68	51.41	124.18
ENSGALG00000005266	6.74	7.24	3.17	6.07	8.1	0.23	0.14	0.69	0.42	1.26	2.55	1.55	11.18	0.71	0.21	0.08
ENSGALG00000003128	13.27	22.22	16.41	15.74	19.48	25.42	17.53	18.7	22.63	30.39	32.71	19.97	41.53	16.74	23.39	16.83
ENSGALG00000002744	6.87	6.73	8.44	1.33	2.35	0.18	1.62	0.08	0.16	0.03	0.41	0.08	0.03	11.38	9.78	9.29
ENSGALG00000007361	1.75	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000022493	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0.09
Locus_80466	0	0	0.39	0	0.29	0.7	0	0	0	0	0	0	0	0.27	0.26	2.28
blastnHuman.ENSG00000248555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_102236	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0.76	0.5
ENSGALG00000004367	0.57	0.58	0.15	1.35	0.59	2.82	3.17	22.8	30	654.21	1866.17	1.23	2.49	2.72	1.18	0.56
ENSGALG00000008188	0.52	1.04	0.94	0.65	0.56	0.37	0.35	4.81	10.46	0.91	1.36	2.53	1.55	147.94	141.42	169.61
ENSGALG00000017326	255.82	223.42	46.15	36.83	60.38	8.64	21.82	13.08	8.53	2.55	11.47	3.44	16.18	8.52	3.32	1.44
Locus_97573	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27	3.64	0.48
ENSGALG00000003419	3.85	4.88	6.3	4.63	4.41	2.71	2.45	2.18	1.78	2.45	0.55	8.89	7	5.94	5.43	12.67
blastnOpossum.Locus_315173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000020183	0.17	0	0	0	0.26	0	0	13.79	12.01	0	0.87	6.18	15.39	0.36	0	0.31
Locus_47720	0	0	0	0.02	0	0	0	0.03	0	0.02	0	0	0	2.58	4.65	4.52
ENSGALG00000014438	0.17	0.25	0.26	0.06	0.17	0	0.12	0.06	0.07	0	0.09	0.05	0.1	0.31	0.6	1.48
ENSGALG00000004034	35.64	32.68	140.47	32.63	28.23	56.4	47.2	40.88	27.51	44.64	31.57	120.83	51.32	45.13	56.4	171.35
CUFF.126305	0.09	0	0	0.09	0	0	0	0	0.12	0	0	0	0	20.79	1.25	0.16
ENSGALG00000014470	79.24	37.58	165.7	3.25	4.16	0	4.74	5.95	1.43	2.87	0	2.06	0	6.88	2.94	9.14
ENSGALG00000006265	12.68	16.09	5.29	5.07	6.13	53.16	34.4	19.06	25.69	11.86	17.01	9.37	46.79	0.91	0.88	2.97
Locus_81038	0	0	0.06	0.06	0.19	0.11	0	0.14	0	0	0	0	0	12.28	17.49	12.32
ENSGALG00000005248	7.86	8.93	14.18	6.79	8.56	8.83	7.84	12.41	13.24	8.58	4.06	38.74	18.46	13.69	27.24	39.98
ENSGALG00000010094	34.93	26.45	13.46	14.7	15.86	61.88	93.99	40.1	39.03	9.69	26.62	10.35	22.58	84.49	36.65	17.15
CUFF.73307	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91	1.55	1.43
ENSGALG00000003424	0.1	0.29	0	1.46	3.28	0	0.21	0	0	0	0	0	0	0	0.07	0.06
ENSGALG00000022756	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0.29	0.19
ENSGALG00000007412	0.81	0	0.32	0.1	0.47	1.32	0.23	28.06	26.72	1.09	0.86	94.33	32.76	2.25	1.74	6.31
ENSGALG00000012847	9.41	10.57	3.32	10.9	11.17	0.19	2.06	51.18	96.14	221.63	142.63	0.25	0.23	7.56	5.46	3.3
Locus_120808	0.07	0	0.15	0.07	0.11	0	0	0.89	0.39	0	0	0.08	0.07	1.1	2.25	2.25
ENSGALG00000023310	0.96	0	2.43	2.27	0.5	0.3	0	2.67	2.56	0.86	0.54	2.84	2.69	6.74	7.24	6.62
Locus_20777	0	0	0.25	0	0	0	0	0	0	0	0	0	0	7.25	3.15	0.82
ENSGALG00000017120	9.51	10.07	12.18	12.44	10.05	4.42	3.03	0.46	0.73	0.68	0.36	3.49	4.41	1.2	1	2.22
ENSGALG00000000833	66.7	55.25	243.74	55.36	54.14	89.53	79.06	105.38	54.29	92.87	59.25	193.03	52.25	46.14	88.57	163.04
Locus_46841	0.3	0	0	0	0.46	0	0	0	0	0	0	0.03	0	0	0	1.94
ENSGALG00000007038	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.52	0.15	0
ENSGALG00000024335	3.35	3.99	0.98	3.48	3.24	6.34	5.96	6.26	6.09	4.16	5.69	2.8	4.04	1.46	1.79	0.81
Locus_64742	13.83	4.22	1.45	1.4	2.51	1.28	5.1	10.25	2.46	0.93	9.01	0.26	0.07	11.52	2.05	1.09
ENSGALG00000023501	9.48	10.33	4.74	3.98	4.31	6.01	5.69	4.06	5.59	5.81	1.84	2.16	2.88	2.22	2.51	2.98
Locus_19306	0	0	0	0.23	0.69	0.41	0	0	0.59	0.3	0.38	0.15	0	1.11	1.07	0.15
ENSGALG00000004998	18.3	20.05	22.05	27.22	25.98	54.21	65.39	33.24	34.07	24.4	19.53	33.07	35.73	15.78	19.86	19.82
ENSGALG00000015278	2.78	0	0.01	4.98	0	3.8	0	4.26	0	2.12	0	9.71	4.09	0	0.06	0.13
ENSGALG00000003924	31.59	29.73	36.97	17.36	19.54	23.82	39.63	35.62	20.31	17.08	52.86	12.12	18.93	76.93	28	35.2
ENSGALG00000005521	17.61	23.36	28.47	17.37	25.51	16.28	20.95	36.12	64.91	19.98	34.22	28.52	26.45	17.15	29.64	37.15
ENSGALG00000008421	21.7	22.96	34.49	19.64	18.13	23.17	24.11	81.56	58.07	56.04	63.41	55.97	37.74	17.27	16.79	21.97
Locus_105172	0.41	0	0	0	0.16	0	0	0	0.55	0.28	0	0.14	0.25	1.62	0.57	0.56
ENSGALG00000004709	10.71	10.51	22.91	13.46	14.22	37.85	31.53	31.37	25.87	18.9	15.97	46.56	19.03	10.79	19.39	45.65
Locus_47151	0.71	1.09	1.12	0.83	0.63	0.19	0.23	0.45	0.41	0.27	0.17	0.61	0.98	0.66	1.12	4.24
Locus_104869	0	0	0	0.17	0.13	0.61	0.73	0.18	0	0.22	0.56	0.19	0.2	0.71	0.45	0.41
ENSGALG00000004383	24.18	21.56	18.25	20.65	25.23	25.61	18.63	31.7	28.96	26.25	44.08	15.91	18.03	60.4	44.5	30.98
ENSGALG00000012357	16.38	25.95	11.85	12	15.66	5.82	3.62	1.26	4.2	2.87	2.14	29.33	42.91	1.44	0.43	1.13
ENSGALG00000017706	4.92	9.63	11.58	6.61	10.14	6.92	11.6	6.18	11.83	5.6	6.72	15.56	7.6	4.81	10.92	17.09
ENSGALG00000016794	4.84	5.45	10.37	4.51	4.03	19.79	12.11	9.25	5.66	7.85	4.24	7.89	4.54	6.53	10.15	16.68
Locus_64508	0	0	0	0	0	0	0	0	0	0	0	1.03	0	0.22	0.65	3.75
ENSGALG00000014076	13.62	13.31	28.28	8.23	8.6	6.57	7.57	9.1	7.24	32.5	33.74	19.37	6.33	10.92	7.45	21.54
Locus_84535	0	0	0	0	0	0	0.28	0	0	23.42	10.53	0.01	0	0	0	0.03
ENSGALG00000003375	7.36	5.86	0.98	16.99	12.39	2.57	4.52	7.09	4.68	3.73	9.73	6.19	12.47	7.53	3.64	0.7
ENSGALG00000004684	12.23	13.64	25.92	11.34	12.13	6.26	8.95	7.94	11.78	5.68	6.87	31.43	10.74	17.32	21.08	42.23
ENSGALG00000012260	0.04	0.12	0.04	0.1	0.09	0.1	0.17	0.17	0.15	0.03	0.1	0.16	0.31	1.39	1.77	1.61
ENSGALG00000003478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_98565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63	0.13
Locus_104789	5.46	2.47	0.23	0.75	3.55	0.27	0.33	0	0	0	0	0.05	0	1.16	1.11	1.26
ENSGALG00000015170	4.06	6.02	11.2	4.32	5.43	2.68	3.88	2.43	3.05	1.88	1.49	19.28	4.01	3.7	7.1	12.98
ENSGALG00000003087	70.5	109.16	261.53	59.56	82.13	39.05	43.96	58.19	59.82	65.31	60.06	75.97	28.87	21.94	36.03	72.66
ENSGALG00000001118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000013865	11.62	13.06	13.78	11.65	13.04	31.49	22.44	14.07	19.93	30.31	24.17	22.75	21.93	2.72	3.62	4.39
ENSGALG00000004074	46.78	32.74	13.11	6.35	3.93	0.45	1.07	1.07	0.64	0.97	3.69	0.16	0.14	1.38	0.5	0.33
ENSGALG00000011489	2.06	2.04	1.29	3.52	4.93	0.15	0.98	0.67	1.13	0.54	0.82	1	3.43	6.03	2.35	1.89
ENSGALG00000003514	0	0	0	1.13	0	1.03	0	1.24	0.74	1.5	2.85	2.46	0.33	0	0	0.13
ENSGALG00000002521	9.14	9.02	4.67	9.47	18.56	6.16	13.96	23.29	14.87	17.41	94.28	5.17	9.95	19.71	5.33	2.68
ENSGALG00000013174	5.17	4.94	10.34	4.36	3.7	6.67	4.08	5.24	4.1	4.02	2.72	9.96	6.99	3.95	5.4	10.25
ENSGALG00000003026	143.34	105.52	151.72	40.89	30.19	42.69	32.16	18.57	25.16	11.48	9.46	24.75	21.86	7.37	6.98	7.69
Locus_65367	2.03	0	0.27	5.66	0.39	0.94	0	0	0	0	0	0.57	0.15	0.36	1.04	3.53
ENSGALG00000003833	138.77	118.08	83.59	15.16	17.02	0	0.05	0.07	0.08	0.03	0.04	1.33	2.14	3.09	1.67	0.63
ENSGALG00000009802	9.22	9.32	11.21	9.29	8.51	12.46	10.58	9.03	9.91	9.59	4.8	13.41	20.15	13.61	19.59	28.74
ENSGALG00000009739	18.92	21.24	14.74	4.34	1.94	4.62	2.37	9.52	29	3.83	3.03	27.9	17.32	3.31	0.73	1.92
ENSGALG00000011695	4.76	4.65	4.61	7.08	7.15	17.92	25.09	14.74	15.54	8.75	14.37	14.09	5.84	5.96	6.79	7.39
ENSGALG00000000308	29.89	17.97	2.13	9.18	16.01	44.78	112.19	76.24	34.39	68.36	329.28	3.12	25.23	120.69	31.19	7.68
Locus_5098	0	0	0	0	0	0.75	0.9	0.45	0.54	0.54	0	0.14	0.24	0	0	0
ENSGALG00000011144	0	0.17	0	0	0	0	0	2.34	1.77	0	0	1.08	1.53	0.71	0.38	0.17
ENSGALG00000022425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000001750	63.36	73.04	92.79	57.21	52.35	60.88	64.81	40.13	51.09	15.53	19.82	39.7	44.92	42.61	62.73	56.1
blastnHuman.Locus_157887	0	2.14	0	1.42	0	0	0	0	0	0	0	0	0	0	0	0.63
ENSGALG00000001019	38.35	29.09	48.2	16.77	21.82	24.79	37.54	23.75	17.31	11.25	23.14	24.99	15.88	35.88	23.41	29.47
ENSGALG00000012351	9.15	7.65	16.3	13.41	10.16	1.72	3.77	1.21	1.58	1.11	0.44	13.34	5.75	3.76	7.83	14.63
ENSGALG00000007512	23.88	22.23	42.14	39.37	29.39	49.08	34.2	37.18	23.56	27.8	15.97	57.37	24.53	181.2	334.2	480.19
ENSGALG00000001869	11.58	10.46	5.87	1.2	0.73	0	0	0	0	0	0	0.01	0	0.51	0.81	0.13
ENSGALG00000012192	14.71	16.76	32.48	22.06	21.83	27.1	33.95	53.01	75.17	11.12	9.08	11.26	9.62	2.8	5.64	11.07
Locus_117396	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0.29	0.82	0.99
ENSGALG00000010214	6.33	8.64	14.1	17.82	18.23	22.86	30.32	50.99	68.47	19.09	17.21	32.43	14.17	60.97	58.81	116.44
Locus_50103	0	0	0	0	0	0	0	0	0	0	0	0.02	0	1.45	1.52	0.58
Locus_29462	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0.64	0.62	0.4
ENSGALG00000000907	86.96	93.3	131.55	95.58	92.03	214.92	206.54	98.2	113.14	145.06	111.92	111.99	109.89	52.12	82.88	90.73
ENSGALG00000014873	182.35	156.79	327.31	209.83	222.73	25.74	22.63	3.79	4.17	110.04	150.18	61.98	34.7	40.36	40.91	85.25
ENSGALG00000007503	0	0.19	0	0	0	0	0.27	52.94	59.76	227.9	395.34	6.32	7.49	3.66	1.57	0.54
ENSGALG00000008866	2.43	1.48	2.54	1.6	1.23	1.57	0.27	4.05	1.78	1.79	1.03	4.3	3.2	15.69	12.24	11.76
ENSGALG00000010032	0.29	0.32	0.04	0.03	0.02	3.31	4.31	13.57	11.05	0.11	0	2.05	0.22	0.49	0.7	1.02
Locus_21070	0	0	0.5	0	0	0	0	0	0	0	0	0.72	0.1	0	0	0.22
ENSGALG00000015453	0.38	0.07	0.35	0.14	0.19	25.92	22.37	0.21	0.13	0.96	0.49	0.06	0.04	1.94	2.91	2.65
Locus_49152	1.17	2.3	2.01	1.1	2.02	0.46	0.37	0.37	1	5.95	8.53	0.6	0.78	0.42	0	0.41
CUFF.120636	0	0	0	0	0	0	0	0	0	0	0	0.12	0	4.18	5.02	2.39
ENSGALG00000005476	0.54	0.66	0.14	0.11	0.13	0.6	0.48	34.55	29.31	14.69	5.92	0.22	0.33	1.55	2.8	1.48
Locus_97252	0	0.54	0.37	0.71	0	0	0	0	0	0	0	0	0	0.75	0.72	4.03
ENSGALG00000012530	6.25	7.57	2.92	8.51	5.71	3.62	1.63	5.24	4.08	2.38	3.12	2.01	3.71	22.08	10.71	6.81
Locus_118349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65	0.9
CUFF.29277	0.22	0.22	0.19	1.56	1.09	0	0.16	1.47	0.69	0	0	0.27	0.13	0.05	0.1	0.05
ENSGALG00000009554	67.26	60.15	153.57	45.05	39.29	19.68	21.07	15.02	15.84	17.71	15.13	28.49	15.43	8.71	15.75	21.15
ENSGALG00000014450	25.53	29.14	61.19	28.17	28.75	115.94	73.32	74.54	58.52	74.88	39.84	107.33	45.97	80.84	173.38	315.31
ENSGALG00000004101	0	0.59	0.34	0	0.1	0	0	0	0	0	0	0.12	0.15	0	0	0
ENSGALG00000013081	15.26	11.57	11.27	4.44	5.61	0	0.2	0.71	0.61	0	0	0.02	0.38	13.69	7.26	5.44
ENSGALG00000001966	76.82	66.79	28	12.46	12.86	0.62	1.73	1.99	1.71	1.88	2.37	0.84	2.68	67.94	20.8	9.65
ENSGALG00000024125	2.05	4.7	0.54	2.08	2.39	0	0	2.28	0	0	0	0.46	0.92	0	2.82	0.23
ENSGALG00000008950	4.59	3.51	4.4	4.19	5.24	64.25	83.34	20.25	24.48	3.9	3.9	11.69	6.7	4.92	3.88	5.44
ENSGALG00000012233	10.89	9.69	14.37	11.26	10.4	16.77	14.45	9.48	11.66	16.31	13.87	19.12	17.25	51.5	50.58	84.68
ENSGALG00000006295	0	0	0	0	0	0	1.39	1.4	3.35	0	0	0.36	1.69	1.57	2.58	2.19
ENSGALG00000010974	0	0	0	0	0.22	0.26	0	11.91	10.01	0	0	0.09	0.13	0.2	0	0.09
Locus_128148	0	0	0.7	0	0	0.62	1.48	0	0	0	0	0.26	0.1	0	0.23	0.45
ENSGALG00000007197	27.31	19.12	9.74	22.35	18.05	332.87	378.72	210	104.98	118.39	176.63	179.67	71.63	27.28	44.25	22.16
ENSGALG00000010470	9.62	11.72	14.18	46.58	30.4	0	0.14	0.86	0.86	0	0	0.72	0.14	1.98	1.68	1.48
ENSGALG00000012658	11.2	12.62	19.72	16.91	14.91	17.99	15.52	10.2	8.78	13.43	4.2	41.22	26.7	2.24	5.62	8.3
ENSGALG00000015701	5.34	5.48	7.59	6.39	5.52	48.8	61.05	32	37.19	31.57	17.48	26.33	17.92	23.56	35.31	52.52
ENSGALG00000017130	5.09	6.6	5.52	14.32	11.3	13.37	17.62	13.27	17.14	10.63	10.28	11.37	6.66	19.37	17.34	22.15
Locus_97960	1.37	1.04	1.07	0	0.27	0.63	2.27	0	0	0	0	0.54	0.31	0.97	0	0.38
ENSGALG00000001630	11.48	11.85	7.53	9.41	10.05	14.87	11.95	25	26.9	22.34	32.97	9.66	12.76	32.67	29.22	19.17
ENSGALG00000004837	32.9	49.71	72.78	32.03	33.97	52.88	41.96	31.56	34.98	53.64	51.7	42.9	37.92	27.3	31.65	51.93
CUFF.26738	0.1	0.16	0.49	0.11	0.08	0	0	0	0	0	0	0	0.03	1.41	2.86	3.09
ENSGALG00000022855	7.36	1.87	0	1.24	5.72	2.27	10.85	16.36	1.63	4.94	39.6	0.14	3.67	54.27	12.61	0.28
ENSGALG00000010635	0.2	0.31	0.26	0.15	0.31	0.09	0.22	0.28	0.6	0.61	0.43	0.4	0.17	1.73	1.38	2.74
ENSGALG00000012480	6.56	17.81	70.15	6.97	17.15	16.85	10.61	25.95	13.21	31.76	14.4	209.1	57.93	19.06	52.94	259.71
CUFF.98824	0.16	0	0	0	0	0	0	0	0.21	0	0	0	0	0.34	0.66	0.97
ENSGALG00000008059	5.98	5.5	15.78	6.62	4.45	8.08	5.73	13.58	10.85	9.74	10.74	29.67	11.24	19.38	25.04	55.36
Locus_66134	0	0	0	0	0	0	0	0	0	0	0	2.54	0.4	0	0	0
Locus_47755	0.56	0.43	0	0.28	0.43	0	0	0.31	0	0	0.47	0	0	2.19	0.38	1.19
ENSGALG00000000729	14.47	12.59	12.13	17.41	14.46	17.02	14.37	13.51	15.45	8.88	7.92	11.68	11.92	18.88	18.85	20.99
ENSGALG00000001556	191.93	163.5	295.17	61.58	123.44	354.72	704	1147.44	458.06	478.57	1205.47	224.43	132.72	285.69	225.42	288.05
ENSGALG00000023091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000018373	35614.94	28708.25	13508.91	39893.48	26116.47	183093.67	173424.13	41141.38	53977.24	52101.89	70303.65	2036.46	5771.19	7126.44	8048.4	2800.5
ENSGALG00000011131	4.08	3.64	10.62	4.3	3.64	4.99	2.35	4.21	3.48	5.31	3.71	14.82	6.9	0.72	1.22	2.61
ENSGALG00000005805	27.94	27.01	32.29	18.5	13.9	14.99	12.85	3.94	3.93	5.88	14.57	6.29	8.93	2.66	2.75	3.69
ENSGALG00000004614	21.89	21.96	6.29	20.47	19.88	8.56	7.45	109.53	109.1	17.28	36.61	2.95	15.31	1.62	1.67	0.62
ENSGALG00000005063	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0
ENSGALG00000012391	23.51	18.91	13.02	20.42	14.4	0	0	0.5	0.82	0	0.19	0.05	0.02	1.12	3.71	0.88
ENSGALG00000016039	14.46	15.06	21.73	17.04	14.8	10.79	8.61	18.07	11.66	6.53	4.25	43.43	27.11	23.61	42.39	46.53
ENSGALG00000011608	13.59	16.54	17.14	28.31	26.12	8.25	8.89	2.06	1.78	21.82	26.65	11.06	10.22	7.78	6.47	12.72
Locus_50357	1.8	1.83	0	0.61	3.26	0	0	0	0	0	0	0	1.44	0	0	0
Locus_119221	0	0	0.39	0	0	0	0	5.01	4.51	0	1.92	0.08	0.9	0	0.52	0
ENSGALG00000011327	6.74	6.64	8.25	8.3	6.16	7.88	7.74	12.51	14.32	14.19	12.46	16.34	13.6	16.98	16.6	21.26
Locus_127133	0.25	0.38	0	0.51	0	0	0	0.28	0	6.42	1.28	0	0.08	0	0	0.17
ENSGALG00000002384	5.87	3.39	4.06	7.63	5.3	9.96	3.68	9.42	4.96	12.23	9.02	5.8	6.98	16.35	20.21	10.58
ENSGALG00000003559	4.36	3.51	4.18	3.75	3.44	6.38	4.56	7.54	5.49	5.29	6.07	7.13	5.88	15.26	11.75	11.56
ENSGALG00000007766	9.21	6.77	12.13	3.61	3.26	7.38	6.72	17.2	11.87	5.18	7.79	32.59	13.84	6.24	5.07	6.72
ENSGALG00000003348	68.69	36.2	16.59	10.06	34.72	26	214.8	95.64	31.97	19.25	264.8	6.82	22.56	95.28	12.48	8.49
ENSGALG00000016680	1.44	0.9	0.48	5.59	5.05	0	0	39.53	32.61	0.09	0	0.01	0	0	0.04	0.01
Locus_28095	0	0	0	0	0	0	0	0	0	0	0	0.1	0.26	2.92	1.03	0.48
ENSGALG00000003778	30.62	36.25	32.28	23.35	17.15	30.15	50.97	12.73	18.8	14.59	10.89	9.85	13.81	8.04	15.39	12.01
ENSGALG00000002897	5.13	6.48	6.66	3.71	4.78	0.27	0.16	0.41	0.39	0	0	0.38	0.79	2.46	3.51	3.67
ENSGALG00000016467	4.18	4.06	26.58	7.51	6.53	7.24	3.2	5.37	2.43	8.06	2.65	63.54	13.09	25.12	80.88	344.75
ENSGALG00000010705	58.31	61.53	61.36	191.48	144.56	13.43	17.44	7.57	8.04	5.23	4.26	6.73	4.92	9.99	12.16	9.58
Locus_63947	1.06	1.9	0.83	9.89	18.2	0	0	0	0	0	0	1.84	2.55	0	0	0
ENSGALG00000002731	2.6	4.91	13.01	1.47	1.19	0.14	0	0	0	0	0	32.12	9.82	52.95	131.51	321.43
CUFF.34776	0.99	0.5	1.03	0.67	1.02	0.61	0.73	0	0.88	0	0	0.19	0.3	0.23	0.23	0.3
ENSGALG00000005628	1.83	2.72	2.23	1.54	1.79	0.56	0.29	1.89	1.1	0.58	0.89	1.86	1.84	33.13	45.46	25.1
ENSGALG00000007639	5.44	2.68	12.66	13.87	6.95	0	0	0.19	0	0.24	0	3.88	0.26	4.76	6.61	13.72
Locus_98137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.85	0.73
ENSGALG00000001971	72.01	67.03	82.7	41.95	45.89	20.93	29.05	38.39	21.63	65.28	55.28	29.6	13.12	343.22	364.17	267.86
ENSGALG00000004323	22.14	17.81	16.91	54.64	50.18	19.87	24.79	17.89	16.96	5.26	8.62	21.35	8.94	77.45	44.29	59.65
ENSGALG00000007990	31.26	20.87	37.63	17.16	18.22	6.02	8.64	17.37	13.01	13.98	39.28	16.48	7.02	90.16	17.63	48.87
ENSGALG00000019702	66.92	66.84	50.24	65.98	67.15	67.1	117.66	33.72	49.21	61.44	61.07	9.37	17.56	65.41	53.91	33.21
ENSGALG00000023521	12.2	8.11	11.11	2.18	1.45	0	1.27	16.27	12.24	0.96	1.46	28.75	17.38	2.56	1.28	0.52
ENSGALG00000009633	3.74	4.73	7.05	4.17	4.98	3.43	2.39	2.47	3.01	2.85	1.78	4.32	6.28	3.08	7.58	9.58
ENSGALG00000010431	1.7	1.22	1.99	1.32	1.71	16.47	12.4	4.56	4.67	2.69	3.74	2.68	6.99	1.43	0.96	1.08
ENSGALG00000015938	17.72	17.99	19.15	14.89	13.05	24.23	27.1	13.03	16.59	19.89	26.52	21.55	27.57	3.95	4.92	5.99
ENSGALG00000005853	20.83	20.1	14.45	1.77	1.51	0	0.08	0.3	0.15	0	0	0.03	0.07	1.79	2.09	1.1
ENSGALG00000004925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000022510	0	0	0.06	0	0	0	0	0.55	0	0.17	0	0	0	0	0.17	0
ENSGALG00000021842	0.41	0.73	0.25	0.16	0.62	0.25	0.3	2.15	1.15	9.6	30.76	1.4	0.88	4.99	3.16	2.47
ENSGALG00000001492	169.75	139.56	74.37	200.72	160.04	28.71	25.08	89.99	118.39	41.85	57.8	16.16	27.18	170.2	104.41	49.71
ENSGALG00000003734	16.72	13.38	11.46	21.38	23	34.95	38.8	47.2	23	88.26	144.81	12.69	16.75	35.2	33.25	17.8
ENSGALG00000004903	7.18	7.3	20.02	2.91	0.74	0	1.06	1.06	0	0	0	0.11	0.43	0.34	0	0.86
ENSGALG00000022242	0.69	0.35	0.66	0.7	0.45	5.94	7.36	7.01	7.64	7.08	12.67	0.87	0.52	1.31	1.02	0.59
ENSGALG00000014286	11.57	12.26	14.74	12.23	13.42	12.9	10.46	15.95	15.41	14.82	8.41	26.48	19.9	16.43	34.88	44.48
ENSGALG00000020775	7.26	7.09	30.51	7.84	9.81	9.68	5.8	6.88	4.44	9.59	4.86	43.03	10.6	3.82	10.2	33.39
