Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
C1orf173	DKFZp547I048, RP11-653A5.1	ENSG00000178965	Chromosome 1 open reading frame 173	1	75033795-75139422	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA028655	Uncertain			Group enriched	7	cerebral cortex: 12.6;fallopian tube: 20.2;testis: 38.4	adrenal gland: 3.3
C1QL1	C1QRF, C1QTNF14, CRF	ENSG00000131094	Complement component 1, q subcomponent-like 1	17	43037061-43045439	Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	7	cerebral cortex: 15.2	prostate: 2.3
C4orf50	FLJ46481	ENSG00000181215	Chromosome 4 open reading frame 50	4	5958845-5991545		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA058292	Uncertain			Tissue enriched	7	cerebral cortex: 1.6	adrenal gland: 0.2
C8orf46	MGC33510	ENSG00000169085	Chromosome 8 open reading frame 46	8	67372238-67430759	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA052044, HPA053651	Uncertain			Tissue enriched	7	cerebral cortex: 62.6	skeletal muscle: 9.3
CACNA1B	CACNL1A5, CACNN, Cav2.2	ENSG00000148408	Calcium channel, voltage-dependent, N type, alpha 1B subunit	9	140772241-141019076	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044347	Uncertain			Group enriched	7	adrenal gland: 2.5;cerebral cortex: 8.8;fallopian tube: 3.3;testis: 4.3	prostate: 0.7
CACNA1E	BII, CACH6, CACNL1A6, Cav2.3	ENSG00000198216	Calcium channel, voltage-dependent, R type, alpha 1E subunit	1	181382238-181777219	Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA042515	Uncertain			Tissue enriched	7	cerebral cortex: 6.1	adrenal gland: 0.8
CDK5R2	NCK5AI, P39, p39nck5ai	ENSG00000171450	Cyclin-dependent kinase 5, regulatory subunit 2 (p39)	2	219824377-219826876	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	7	cerebral cortex: 23.2	adrenal gland: 3.5
CHD5		ENSG00000116254	Chromodomain helicase DNA binding protein 5	1	6161853-6240183	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015809	Uncertain			Group enriched	7	cerebral cortex: 19.8;testis: 25.6	adrenal gland: 3.3
CLEC2L	FLJ32986	ENSG00000236279	C-type lectin domain family 2, member L	7	139208602-139229730	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045050	Supportive			Tissue enriched	7	cerebral cortex: 9.5	skeletal muscle: 1.4
CNDP1	CN1, CPGL2, HsT2308, MGC10825	ENSG00000150656	Carnosine dipeptidase 1 (metallopeptidase M20 family)	18	72201675-72254448	Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008933	Supportive			Group enriched	7	cerebral cortex: 69.2;liver: 51.4	duodenum: 8.6
CNP		ENSG00000173786	2',3'-cyclic nucleotide 3' phosphodiesterase	17	40118759-40129749	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002672, HPA023266, HPA023278, HPA023280, HPA023338	Supportive	Supportive	Nucleus, Cytoplasm	Tissue enriched	7	cerebral cortex: 307.7	kidney: 47.2
CPNE6		ENSG00000100884	Copine VI (neuronal)	14	24540046-24547309	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031636	Uncertain			Tissue enriched	7	cerebral cortex: 47.7	small intestine: 6.6
CSMD3		ENSG00000164796	CUB and Sushi multiple domains 3	8	113235157-114449328	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA029007	Uncertain			Group enriched	7	cerebral cortex: 5.9;testis: 6.9	spleen: 0.9
CTNNA2	CAP-R, CT114	ENSG00000066032	Catenin (cadherin-associated protein), alpha 2	2	79412357-80875905	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019162, CAB037175	Uncertain			Group enriched	7	cerebral cortex: 66.0;testis: 20.0	endometrium: 5.9
DACH2		ENSG00000126733	Dachshund homolog 2 (Drosophila)	X	85403462-86087607		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA000258	Uncertain			Group enriched	7	cerebral cortex: 8.0;fallopian tube: 6.1	kidney: 0.9
DNAJC6	KIAA0473	ENSG00000116675	DnaJ (Hsp40) homolog, subfamily C, member 6	1	65713902-65881552	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031182, HPA054917	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	7	cerebral cortex: 99.2	adrenal gland: 14.8
DNM1	DNM	ENSG00000106976	Dynamin 1	9	130965658-131017527	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB005920, HPA049910	Supportive			Tissue enriched	7	cerebral cortex: 143.2	gallbladder: 21.8
DOC2A		ENSG00000149927	Double C2-like domains, alpha	16	30016830-30034591	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	cerebral cortex: 37.0;testis: 28.5	ovary: 4.7
ELOVL2	Ssc2	ENSG00000197977	ELOVL fatty acid elongase 2	6	10980992-11044547	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031877, HPA031878	Uncertain			Group enriched	7	cerebral cortex: 13.7;liver: 29.6;placenta: 25.9;prostate: 7.6;testis: 11.7	heart muscle: 2.6
ETNPPL	AGXT2L1	ENSG00000164089	Ethanolamine-phosphate phospho-lyase	4	109663196-109684210	Enzymes, Mitochondrial proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044546	Uncertain			Group enriched	7	cerebral cortex: 79.1;liver: 100.6;salivary gland: 27.5	stomach: 10.4
FAM155A		ENSG00000204442	Family with sequence similarity 155, member A	13	107820883-108519083	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039453	Supportive			Tissue enriched	7	cerebral cortex: 18.9	adrenal gland: 2.9
FGF1	AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-alpha, FGFA, GLIO703, HBGF1	ENSG00000113578	Fibroblast growth factor 1 (acidic)	5	141971743-142077617	Cancer-related genes, FDA approved drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003265, CAB017519	Supportive	Supportive	Nucleus but not nucleoli	Group enriched	7	cerebral cortex: 85.3;heart muscle: 56.9;kidney: 68.0	adipose tissue: 10.2
FRRS1L	C9orf4, CG-6	ENSG00000260230	Ferric-chelate reductase 1-like	9	111892573-111929571	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA023481	Uncertain			Group enriched	7	adrenal gland: 8.8;cerebral cortex: 29.0;ovary: 11.3	prostate: 2.4
GABRA2		ENSG00000151834	Gamma-aminobutyric acid (GABA) A receptor, alpha 2	4	46250444-46477247	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014261	Uncertain			Tissue enriched	7	cerebral cortex: 46.2	small intestine: 6.7
GABRD		ENSG00000187730	Gamma-aminobutyric acid (GABA) A receptor, delta	1	1950780-1962192	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA044371	Supportive			Tissue enriched	7	cerebral cortex: 22.2	testis: 3.0
GALNT9	GALNAC-T9	ENSG00000182870	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	12	132680924-132905935	Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	7	cerebral cortex: 14.5;kidney: 4.3;thyroid gland: 4.2	fallopian tube: 1.0
GRIN3A	GluN3A	ENSG00000198785	Glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	9	104331635-104500862	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	7	cerebral cortex: 7.5	prostate: 1.1
GRM2	GPRC1B, mGlu2, MGLUR2	ENSG00000164082	Glutamate receptor, metabotropic 2	3	51741086-51752629	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	cerebral cortex: 5.4;testis: 7.7	bone marrow: 0.9
ICAM5	TLCN, TLN	ENSG00000105376	Intercellular adhesion molecule 5, telencephalin	19	10400657-10407454	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008943, HPA009083, CAB025178	Supportive	Uncertain	Nucleus but not nucleoli	Group enriched	7	cerebral cortex: 21.5;lung: 7.7	testis: 2.2
ITPKA	IP3-3KA, IP3KA	ENSG00000137825	Inositol-trisphosphate 3-kinase A	15	41785591-41795747	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040454	Supportive	Uncertain	Vesicles	Group enriched	7	cerebral cortex: 18.4;colon: 8.6;duodenum: 15.1;rectum: 3.9;small intestine: 15.7;stomach: 12.7;testis: 5.8	salivary gland: 1.6
LHFPL4		ENSG00000156959	Lipoma HMGIC fusion partner-like 4	3	9543481-9595486	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041421	Uncertain			Tissue enriched	7	cerebral cortex: 10.6	adrenal gland: 1.4
LPPR5		ENSG00000117598	Lipid phosphate phosphatase-related protein type 5 	1	99355806-99470588	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA018072	Uncertain	Uncertain	Nucleus, Plasma membrane, Centrosome	Group enriched	7	cerebral cortex: 7.4;testis: 2.7	adrenal gland: 0.7
MAG	GMA, S-MAG, SIGLEC-4A, SIGLEC4A	ENSG00000105695	Myelin associated glycoprotein	19	35783028-35804707	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009345, HPA012499	Supportive			Group enriched	7	cerebral cortex: 70.6;ovary: 29.9	fallopian tube: 6.9
MAP1A	MAP1L	ENSG00000166963	Microtubule-associated protein 1A	15	43803156-43823818	FDA approved drug targets, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039063, HPA039064	Supportive			Tissue enriched	7	cerebral cortex: 85.6	smooth muscle: 12.8
MC4R		ENSG00000166603	Melanocortin 4 receptor	18	58038564-58040001	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA016719	Uncertain			Group enriched	7	cerebral cortex: 1.7;fallopian tube: 3.3	tonsil: 0.4
MPPED1	239AB, C22orf1, FAM1A	ENSG00000186732	Metallophosphoesterase domain containing 1	22	43807202-43903728	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	7	cerebral cortex: 21.0;liver: 6.2	testis: 2.0
MT3	GIF	ENSG00000087250	Metallothionein 3	16	56622986-56625000	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004011, CAB017779	Supportive	Uncertain	Nucleus but not nucleoli	Tissue enriched	7	cerebral cortex: 147.4	adrenal gland: 20.8
MYT1	MTF1, MYTI, PLPB1, ZC2HC4A	ENSG00000196132	Myelin transcription factor 1	20	62783144-62873604	Plasma proteins, Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006303	Uncertain	Supportive	Nucleus but not nucleoli, Cytoplasm	Group enriched	7	adrenal gland: 3.4;cerebral cortex: 5.5	testis: 0.7
NECAB1	EFCBP1	ENSG00000123119	N-terminal EF-hand calcium binding protein 1	8	91803778-91971636	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023252, HPA023629, HPA025963, HPA031262, CAB068208, CAB068209, CAB068210	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	7	cerebral cortex: 49.4	heart muscle: 7.5
NGB		ENSG00000165553	Neuroglobin	14	77731826-77737655	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB037319	Uncertain			Group enriched	7	adrenal gland: 6.6;cerebral cortex: 2.7;fallopian tube: 1.6;pancreas: 2.3	rectum: 0.5
NPTXR		ENSG00000221890	Neuronal pentraxin receptor	22	39214457-39239987	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA001079	Supportive			Tissue enriched	7	cerebral cortex: 88.9	heart muscle: 12.5
PAQR6	FLJ22672	ENSG00000160781	Progestin and adipoQ receptor family member VI	1	156213206-156217881	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA010843	Uncertain			Tissue enriched	7	cerebral cortex: 61.5	skin: 8.8
PEX5L	PEX5R, PXR2	ENSG00000114757	Peroxisomal biogenesis factor 5-like	3	179512746-179754841	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA058026	Supportive			Tissue enriched	7	cerebral cortex: 38.8	testis: 5.8
RALYL	HNRPCL3	ENSG00000184672	RALY RNA binding protein-like	8	85095022-85834079	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA055868	Supportive			Group enriched	7	adrenal gland: 21.1;cerebral cortex: 29.9;gallbladder: 6.4;kidney: 16.3	spleen: 2.5
RPRML	MGC43894	ENSG00000179673	Reprimo-like	17	45055523-45056614	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA062668	Uncertain			Tissue enriched	7	cerebral cortex: 3.0	skeletal muscle: 0.4
S100B	S100beta	ENSG00000160307	S100 calcium binding protein B	21	48018875-48025121	Cancer-related genes, Candidate cardiovascular disease genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000073, HPA015768	Supportive	Supportive	Vesicles, Nucleus	Group enriched	7	adipose tissue: 144.1;cerebral cortex: 293.7	adrenal gland: 31.9
SLC6A17		ENSG00000197106	Solute carrier family 6 (neutral amino acid transporter), member 17	1	110693108-110744824	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA007663, HPA008044	Uncertain	Uncertain	Golgi apparatus, Nucleus	Tissue enriched	7	cerebral cortex: 39.1	adrenal gland: 5.4
SLC7A14	KIAA1613	ENSG00000013293	Solute carrier family 7, member 14	3	170177372-170303863	Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA045929	Uncertain			Tissue enriched	7	cerebral cortex: 15.8	adrenal gland: 2.4
SLC8A2	KIAA1087, NCX2	ENSG00000118160	Solute carrier family 8 (sodium/calcium exchanger), member 2	19	47931274-47975425	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA050818, HPA054671	Supportive			Tissue enriched	7	cerebral cortex: 30.6	pancreas: 4.4
SPOCK3	testican-3	ENSG00000196104	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	4	167654535-168155947	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	7	adrenal gland: 30.9;cerebral cortex: 69.5;ovary: 26.8;prostate: 67.5	endometrium: 7.2
SRRM4	KIAA1853, nSR100	ENSG00000139767	Serine/arginine repetitive matrix 4	12	119419300-119600856		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA052783	Uncertain			Tissue enriched	7	cerebral cortex: 7.8	adrenal gland: 1.2
SRSF12	SFRS13B, SFRS19, SRrp35	ENSG00000154548	Serine/arginine-rich splicing factor 12	6	89805678-89827800	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA049782	Uncertain			Group enriched	7	cerebral cortex: 5.9;testis: 18.2	ovary: 1.8
SULT4A1	hBR-STL-1, SULTX3	ENSG00000130540	Sulfotransferase family 4A, member 1	22	44220389-44258398	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003129	Supportive			Tissue enriched	7	cerebral cortex: 80.5	duodenum: 11.6
SYP		ENSG00000102003	Synaptophysin	X	49044269-49056718	Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000076, HPA002858, CAB055505	Supportive			Tissue enriched	7	cerebral cortex: 227.8	adrenal gland: 32.4
SYT1	P65, SVP65, SYT	ENSG00000067715	Synaptotagmin I	12	79257773-79845788	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008394, HPA064788	Supportive			Tissue enriched	7	cerebral cortex: 280.7	smooth muscle: 42.0
TMEM151B	bA444E17.5, C6orf137, TMEM193	ENSG00000178233	Transmembrane protein 151B	6	44238203-44275243	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA055167	Uncertain			Tissue enriched	7	cerebral cortex: 19.8	adrenal gland: 2.9
UNC13C	DKFZp547H074, Munc13-3	ENSG00000137766	Unc-13 homolog C (C. elegans)	15	54305101-54920806	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041516	Uncertain			Group enriched	7	cerebral cortex: 10.1;testis: 6.9	gallbladder: 1.3
ZNF365	KIAA0844, UAN	ENSG00000138311	Zinc finger protein 365	10	64133951-64431771	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA052446	Uncertain			Group enriched	7	cerebral cortex: 33.4;esophagus: 10.6	gallbladder: 3.3
ACBD7	bA455B2.2, FLJ38219	ENSG00000176244	Acyl-CoA binding domain containing 7	10	15119522-15130775	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA043326	Uncertain			Tissue enriched	6	cerebral cortex: 20.3	testis: 3.7
ADARB2	ADAR3, hRED2, RED2	ENSG00000185736	Adenosine deaminase, RNA-specific, B2 (non-functional)	10	1228073-1779670	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031332, HPA031333	Uncertain			Group enriched	6	cerebral cortex: 11.5;fallopian tube: 3.1;pancreas: 4.7;salivary gland: 8.4;testis: 3.4	lymph node: 1.0
ADCY8	AC8, ADCY3, HBAC1	ENSG00000155897	Adenylate cyclase 8 (brain)	8	131792547-132054672	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB018652, HPA024291	Supportive			Group enriched	6	cerebral cortex: 7.3;fallopian tube: 4.8;lung: 1.5	salivary gland: 0.8
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	19	2249308-2252072	Disease related genes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB031933	Uncertain			Group enriched	6	cerebral cortex: 4.5;testis: 9.6	pancreas: 1.2
ANKRD34A	ANKRD34	ENSG00000181039	Ankyrin repeat domain 34A	1	145470508-145475646	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA029642, HPA029643	Uncertain	Supportive	Cytoplasm	Tissue enriched	6	cerebral cortex: 5.7	prostate: 1.0
APLP1	APLP	ENSG00000105290	Amyloid beta (A4) precursor-like protein 1	19	36358801-36370693	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028970, HPA028971	Supportive			Tissue enriched	6	cerebral cortex: 382.6	adrenal gland: 60.6
ARNT2	bHLHe1, KIAA0307	ENSG00000172379	Aryl-hydrocarbon receptor nuclear translocator 2	15	80696692-80890278	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001056, CAB005081	Uncertain	Uncertain	Mitochondria, Nucleus	Tissue enriched	6	cerebral cortex: 79.6	kidney: 13.7
ASCL1	ASH1, bHLHa46, HASH1	ENSG00000139352	Achaete-scute family bHLH transcription factor 1	12	103351464-103354294	Predicted secreted proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA029217	Uncertain			Tissue enriched	6	cerebral cortex: 8.5	stomach: 1.5
ATP1A3	DYT12	ENSG00000105409	ATPase, Na+/K+ transporting, alpha 3 polypeptide	19	42470734-42501649	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB033630, HPA045367, HPA056446	Supportive			Group enriched	6	cerebral cortex: 178.6;heart muscle: 103.0;testis: 44.3	adrenal gland: 19.7
ATP1B2	AMOG	ENSG00000129244	ATPase, Na+/K+ transporting, beta 2 polypeptide	17	7549945-7561086	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA010698	Supportive			Tissue enriched	6	cerebral cortex: 152.3	ovary: 25.0
ATP8A2	ATPIB, ML-1	ENSG00000132932	ATPase, aminophospholipid transporter, class I, type 8A, member 2	13	25946209-26599989	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039926	Uncertain			Group enriched	6	cerebral cortex: 18.1;testis: 17.2	adrenal gland: 3.0
BAI3	KIAA0550	ENSG00000135298	Brain-specific angiogenesis inhibitor 3	6	69345259-70099403	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015963	Uncertain			Tissue enriched	6	cerebral cortex: 35.1	smooth muscle: 6.2
BRSK1	KIAA1811	ENSG00000160469	BR serine/threonine kinase 1	19	55793440-55823901	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021212, HPA061719	Uncertain	Supportive	Nucleus but not nucleoli	Tissue enriched	6	cerebral cortex: 58.1	adrenal gland: 10.1
C2CD4C	FAM148C, KIAA1957, NLF3	ENSG00000183186	C2 calcium-dependent domain containing 4C	19	405438-409139	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA055915	Uncertain			Group enriched	6	adipose tissue: 2.1;cerebral cortex: 4.8;gallbladder: 2.9	endometrium: 0.6
CADM3	BIgR, FLJ10698, IGSF4B, Necl-1, NECL1, SynCAM3, TSLL1	ENSG00000162706	Cell adhesion molecule 3	1	159141399-159173103	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002981, CAB025746	Supportive	Uncertain		Group enriched	6	cerebral cortex: 130.7;placenta: 57.4	urinary bladder: 14.9
CAMK2B	CAM2, CAMK2, CAMKB	ENSG00000058404	Calcium/calmodulin-dependent protein kinase II beta	7	44256749-44374176	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006849, HPA026307, HPA051783, HPA051785, HPA053973	Supportive			Group enriched	6	cerebral cortex: 99.4;heart muscle: 47.0;skeletal muscle: 44.9	adrenal gland: 10.5
