Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
MYBPC1		ENSG00000196091	Myosin binding protein C, slow type	12	101962131-102079796	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021004, HPA027614	Supportive	Uncertain	Cytoplasm, Mitochondria, Cell Junctions	Tissue enriched	18	skeletal muscle: 2773.8	prostate: 155.0
MYL1		ENSG00000168530	Myosin, light chain 1, alkali; skeletal, fast	2	211154874-211179914	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA046859	Uncertain			Tissue enriched	18	skeletal muscle: 4323.1	prostate: 245.6
SMCO1	C3orf43, DKFZp313B0440, FLJ41923	ENSG00000214097	Single-pass membrane protein with coiled-coil domains 1	3	196233748-196242237		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA061937	Uncertain			Group enriched	18	heart muscle: 32.3;skeletal muscle: 65.3	esophagus: 2.7
TNNI1		ENSG00000159173	Troponin I type 1 (skeletal, slow)	1	201373625-201398994	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009349, HPA028190	Supportive	Uncertain	Nucleus, Nucleoli	Tissue enriched	18	skeletal muscle: 1885.2	esophagus: 105.8
TRIM54	MURF, MURF-3, RNF30	ENSG00000138100	Tripartite motif containing 54	2	27505260-27530307	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019690	Uncertain			Group enriched	18	heart muscle: 78.7;skeletal muscle: 265.3	testis: 9.6
CDH15	CDH14, CDH3	ENSG00000129910	Cadherin 15, type 1, M-cadherin (myotubule)	16	89238175-89261900	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA009139	Supportive			Tissue enriched	17	skeletal muscle: 17.8	placenta: 1.1
CHRNA10		ENSG00000129749	Cholinergic receptor, nicotinic, alpha 10 (neuronal)	11	3686817-3692614	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA060919	Uncertain			Tissue enriched	17	skeletal muscle: 15.6	skin: 0.9
LMOD3		ENSG00000163380	Leiomodin 3 (fetal)	3	69156023-69172183	Cytoskeleton related proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA036034	Uncertain			Group enriched	17	heart muscle: 83.4;skeletal muscle: 168.1	prostate: 7.5
MYL2	CMH10	ENSG00000111245	Myosin, light chain 2, regulatory, cardiac, slow	12	111348623-111358526	Candidate cardiovascular disease genes, Cytoskeleton related proteins, Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019763, HPA039262	Supportive			Group enriched	17	heart muscle: 5292.0;skeletal muscle: 4805.7	prostate: 303.0
RAPSN	CMS1D, CMS1E, RNF205	ENSG00000165917	Receptor-associated protein of the synapse	11	47459308-47470730	Cytoskeleton related proteins, Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039475	Uncertain	Supportive	Plasma membrane, Cytoplasm, Centrosome	Tissue enriched	17	skeletal muscle: 33.6	placenta: 2.0
ASB4	ASB-4	ENSG00000005981	Ankyrin repeat and SOCS box containing 4	7	95107756-95169544		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA055240	Uncertain			Group enriched	16	adrenal gland: 39.4;skeletal muscle: 14.1	placenta: 1.6
CHRND	ACHRD	ENSG00000135902	Cholinergic receptor, nicotinic, delta (muscle)	2	233390703-233401377	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	16	skeletal muscle: 15.8	prostate: 1.0
KLHL41	KBTBD10, Krp1, SARCOSIN	ENSG00000239474	Kelch-like family member 41	2	170366212-170382772	Cytoskeleton related proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021165, HPA021753, HPA021760	Supportive	Supportive	Plasma membrane, Cytoplasm	Tissue enriched	16	skeletal muscle: 1480.3	prostate: 89.9
SYNPO2L	FLJ12921	ENSG00000166317	Synaptopodin 2-like	10	75404639-75423561	Cytoskeleton related proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA055192, HPA057142	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm, Cell Junctions	Group enriched	16	heart muscle: 180.3;skeletal muscle: 106.8	esophagus: 8.9
SYPL2	Mg29	ENSG00000143028	Synaptophysin-like 2	1	110009180-110024759	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA018032	Uncertain			Tissue enriched	16	skeletal muscle: 143.3	heart muscle: 8.9
XIRP2	CMYA3	ENSG00000163092	Xin actin-binding repeat containing 2	2	167744997-168116263	Cancer-related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034813	Uncertain			Group enriched	16	heart muscle: 94.1;skeletal muscle: 284.5	prostate: 11.5
CSRP3	CLP, CMD1M, MLP	ENSG00000129170	Cysteine and glycine-rich protein 3 (cardiac LIM protein)	11	19203578-19232120	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042581	Supportive			Group enriched	15	heart muscle: 1187.5;skeletal muscle: 428.0	prostate: 53.2
DUSP27		ENSG00000198842	Dual specificity phosphatase 27 (putative)	1	167063282-167098402	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA012608	Uncertain			Group enriched	15	heart muscle: 47.1;skeletal muscle: 44.5	prostate: 3.0
HFE2	haemojuvelin, hemojuvelin, HFE2A, HJV, JH, RGMC	ENSG00000168509	Hemochromatosis type 2 (juvenile)	1	145413095-145417545	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA014472	Uncertain			Group enriched	15	heart muscle: 52.8;liver: 101.2;skeletal muscle: 219.6	esophagus: 8.4
PRSS42	TESSP2	ENSG00000178055	Protease, serine, 42	3	46871032-46875585	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA046925	Uncertain			Group enriched	15	heart muscle: 2.5;skeletal muscle: 3.4	prostate: 0.2
TRDN		ENSG00000186439	Triadin	6	123537483-123958238	Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038226	Supportive	Uncertain	Plasma membrane, Cytoplasm	Group enriched	15	heart muscle: 217.6;skeletal muscle: 443.9	prostate: 22.7
TRIM72		ENSG00000177238	Tripartite motif containing 72	16	31225342-31236510	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023122	Uncertain	Uncertain	Nucleus, Nucleoli	Tissue enriched	15	skeletal muscle: 41.6	prostate: 2.7
AMPD1	MAD, MADA	ENSG00000116748	Adenosine monophosphate deaminase 1	1	115215719-115238239	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA026478, HPA028080	Supportive			Tissue enriched	14	skeletal muscle: 210.6	duodenum: 15.1
APOBEC2	ARCD1, ARP1	ENSG00000124701	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	6	41021043-41032250	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014252, HPA017957	Supportive			Group enriched	14	heart muscle: 129.5;skeletal muscle: 387.3	prostate: 18.9
ARPP21	ARPP-21, R3HDM3, TARPP	ENSG00000172995	CAMP-regulated phosphoprotein, 21kDa	3	35680437-35835988	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017303	Supportive	Uncertain	Nucleoli, Cytoplasm	Group enriched	14	cerebral cortex: 61.8;skeletal muscle: 22.7	esophagus: 3.0
FHL3	SLIM2	ENSG00000183386	Four and a half LIM domains 3	1	38462442-38471278	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045723	Uncertain			Tissue enriched	14	skeletal muscle: 588.7	esophagus: 41.0
LDB3	KIAA0613, PDLIM6, ZASP	ENSG00000122367	LIM domain binding 3	10	88428206-88495825	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048955	Supportive			Group enriched	14	heart muscle: 582.1;skeletal muscle: 942.9	prostate: 52.7
MYOM1		ENSG00000101605	Myomesin 1	18	3066805-3220106	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014305, HPA049193	Supportive			Group enriched	14	heart muscle: 274.9;skeletal muscle: 284.3	gallbladder: 20.2
MYOM2		ENSG00000036448	Myomesin 2	8	1993155-2113475	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001765, HPA005953	Uncertain	Supportive	Mitochondria, Nucleus but not nucleoli, Cytoplasm	Group enriched	14	heart muscle: 416.0;skeletal muscle: 230.2	prostate: 23.8
PPP1R3A	GM, PPP1R3	ENSG00000154415	Protein phosphatase 1, regulatory subunit 3A	7	113516832-113715975	Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Group enriched	14	heart muscle: 32.9;skeletal muscle: 63.6	prostate: 3.4
RBFOX1	A2BP1, FOX-1, HRNBP1	ENSG00000078328	RNA binding protein, fox-1 homolog (C. elegans) 1	16	6069095-7763340		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA040809	Supportive	Uncertain	Nucleus, Cytoplasm, Golgi apparatus	Group enriched	14	cerebral cortex: 55.6;heart muscle: 20.6;skeletal muscle: 40.6	prostate: 2.7
XIRP1	CMYA1, DKFZp451D042, Xin	ENSG00000168334	Xin actin-binding repeat containing 1	3	39224701-39234087	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016750, HPA018458, CAB026391	Supportive	Uncertain	Cytoskeleton (Actin filaments), Nucleus	Group enriched	14	heart muscle: 127.9;skeletal muscle: 64.6	prostate: 6.7
ANKRD2	ARPP	ENSG00000165887	Ankyrin repeat domain 2 (stretch responsive muscle)	10	99332198-99343641	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040842, HPA040884	Supportive	Supportive	Vesicles	Group enriched	13	heart muscle: 35.9;skeletal muscle: 108.5	kidney: 5.5
ASB18		ENSG00000182177	Ankyrin repeat and SOCS box containing 18	2	237102095-237173052	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	13	heart muscle: 5.3;skeletal muscle: 4.9	testis: 0.4
CA3	CAIII, Car3	ENSG00000164879	Carbonic anhydrase III, muscle specific	8	86285665-86361269	Enzymes, FDA approved drug targets, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004967, HPA021775, HPA026700	Supportive			Tissue enriched	13	skeletal muscle: 1438.4	prostate: 107.8
CACNG6		ENSG00000130433	Calcium channel, voltage-dependent, gamma subunit 6	19	54495542-54515923	Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	13	fallopian tube: 8.1;skeletal muscle: 34.2	lung: 1.6
HSPB3	HSPL27	ENSG00000169271	Heat shock 27kDa protein 3	5	53751445-53752207	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	13	heart muscle: 246.8;skeletal muscle: 75.6	esophagus: 12.1
LRRC30		ENSG00000206422	Leucine rich repeat containing 30	18	7231123-7232045		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA041039	Uncertain			Tissue enriched	13	skeletal muscle: 6.1	esophagus: 0.5
MYF6	bHLHc4, MRF4	ENSG00000111046	Myogenic factor 6 (herculin)	12	81101277-81103253	Disease related genes, Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	13	skeletal muscle: 101.4	prostate: 7.8
NRAP		ENSG00000197893	Nebulin-related anchoring protein	10	115348475-115423886	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA037953, HPA037954	Uncertain			Group enriched	13	heart muscle: 222.7;skeletal muscle: 678.6	prostate: 34.5
TCAP	CMD1N, LGMD2G, T-cap, TELE, telethonin	ENSG00000173991	Titin-cap	17	37820440-37822808	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004591, HPA026477	Supportive			Group enriched	13	heart muscle: 1609.4;skeletal muscle: 2725.8	prostate: 166.3
TMEM233	IFITMD2	ENSG00000224982	Transmembrane protein 233	12	120031264-120079363	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	No evidence		HPA047506	Uncertain			Group enriched	13	cerebral cortex: 7.1;skeletal muscle: 14.0;thyroid gland: 14.1	lung: 0.9
TMEM38A	MGC3169, TRIC-A	ENSG00000072954	Transmembrane protein 38A	19	16771938-16800840	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048100, HPA050463	Uncertain	Uncertain	Nucleus	Tissue enriched	13	skeletal muscle: 215.1	stomach: 16.0
VGLL2		ENSG00000170162	Vestigial like 2 (Drosophila)	6	117586721-117594728		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	13	skeletal muscle: 53.2	heart muscle: 4.1
ASB11	DKFZp779E2460	ENSG00000165192	Ankyrin repeat and SOCS box containing 11	X	15298053-15333778	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA000238	Uncertain			Group enriched	12	heart muscle: 36.9;skeletal muscle: 54.6	stomach: 3.7
ASB16	FLJ30165	ENSG00000161664	Ankyrin repeat and SOCS box containing 16	17	42247815-42256451	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	12	skeletal muscle: 26.1	heart muscle: 2.1
CAMK2A	CAMKA, CaMKIINalpha, KIAA0968	ENSG00000070808	Calcium/calmodulin-dependent protein kinase II alpha	5	149599054-149669854	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004330, HPA051783, HPA051785, HPA053973	Supportive			Group enriched	12	cerebral cortex: 134.7;skeletal muscle: 69.2	heart muscle: 8.8
KLHL34	FLJ34960, RP11-450P7.3	ENSG00000185915	Kelch-like family member 34	X	21673609-21676448	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060287	Uncertain			Tissue enriched	12	skeletal muscle: 9.3	heart muscle: 0.8
KLHL40	KBTBD5, NEM8, SRYP	ENSG00000157119	Kelch-like family member 40	3	42727011-42734036	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA024463, HPA052201	Supportive			Tissue enriched	12	skeletal muscle: 62.5	prostate: 5.3
MSS51	FLJ39565, ZMYND17	ENSG00000166343	MSS51 mitochondrial translational activator	10	75183339-75193319		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA038564	Uncertain			Tissue enriched	12	skeletal muscle: 102.6	heart muscle: 8.3
MYOZ3	CS-3, CS3, FRP3	ENSG00000164591	Myozenin 3	5	150040436-150058927	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039166	Supportive			Tissue enriched	12	skeletal muscle: 107.4	prostate: 8.8
TNNC1	TNNC	ENSG00000114854	Troponin C type 1 (slow)	3	52485118-52488086	Disease related genes, FDA approved drug targets, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002450, HPA044848, HPA056897	Supportive	Supportive	Nucleus but not nucleoli, Cytoskeleton (Actin filaments), Mitochondria	Group enriched	12	heart muscle: 3088.2;skeletal muscle: 3764.7	esophagus: 290.3
CALML6	CAGLP	ENSG00000169885	Calmodulin-like 6	1	1846266-1848735	RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA005912	Uncertain			Tissue enriched	11	skeletal muscle: 48.9	esophagus: 4.4
PPAPDC3	C9orf67, FLJ14662, MGC12921, NET39	ENSG00000160539	Phosphatidic acid phosphatase type 2 domain containing 3	9	134165081-134184649	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA062514	Supportive			Group enriched	11	heart muscle: 35.8;skeletal muscle: 77.3	cerebral cortex: 5.2
TBX15	TBX14	ENSG00000092607	T-box 15	1	119425669-119532179	Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA052245	Uncertain			Group enriched	11	adipose tissue: 13.5;liver: 35.4;skeletal muscle: 46.4	prostate: 2.9
ABRA	STARS	ENSG00000174429	Actin-binding Rho activating protein	8	107771711-107782473		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA017724	Uncertain			Group enriched	10	heart muscle: 13.1;skeletal muscle: 57.0	esophagus: 3.4
ATP1B4		ENSG00000101892	ATPase, Na+/K+ transporting, beta 4 polypeptide	X	119495967-119516226	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA044128	Uncertain			Tissue enriched	10	skeletal muscle: 23.4	prostate: 2.3
ENO3		ENSG00000108515	Enolase 3 (beta, muscle)	17	4851387-4860426	Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000793, HPA068284	Uncertain	Supportive	Plasma membrane, Cytoplasm	Tissue enriched	10	skeletal muscle: 3811.0	heart muscle: 385.7
LSMEM1	C7orf53, FLJ39575	ENSG00000181016	Leucine-rich single-pass membrane protein 1	7	112120908-112131117	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA013753, HPA047988	Uncertain	Supportive	Cytoplasm	Tissue enriched	10	skeletal muscle: 41.4	testis: 3.9
MB	PVALB	ENSG00000198125	Myoglobin	22	36002811-36033998	Candidate cardiovascular disease genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000060, HPA003123	Supportive			Group enriched	10	heart muscle: 3937.4;skeletal muscle: 5728.1	esophagus: 467.7
MUSTN1	Mustang	ENSG00000272573	Musculoskeletal, embryonic nuclear protein 1	3	52867130-52869235	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	10	skeletal muscle: 389.6	heart muscle: 38.7
MYL3	CMH8, MLC1SB, MLC1V, VLC1	ENSG00000160808	Myosin, light chain 3, alkali; ventricular, skeletal, slow	3	46899362-46923659	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016564, CAB018662, HPA046859	Supportive			Group enriched	10	heart muscle: 1213.5;skeletal muscle: 1265.9	esophagus: 129.7
PDE4DIP	CMYA2, KIAA0454, KIAA0477, MMGL	ENSG00000178104	Phosphodiesterase 4D interacting protein	1	144836157-145076186	Cancer-related genes, Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008162, HPA012678	Uncertain	Supportive	Golgi apparatus	Group enriched	10	heart muscle: 1832.2;skeletal muscle: 1543.0	cerebral cortex: 172.5
PGAM2	PGAM-M	ENSG00000164708	Phosphoglycerate mutase 2 (muscle)	7	44102326-44105186	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA049237, HPA060173	Uncertain			Group enriched	10	heart muscle: 541.8;skeletal muscle: 1254.5	testis: 89.3
PHKG1	PHKG	ENSG00000164776	Phosphorylase kinase, gamma 1 (muscle)	7	56148440-56160689	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA012057	Supportive			Tissue enriched	10	skeletal muscle: 148.5	heart muscle: 14.8
SLC25A4	ANT1, PEO2, PEO3, T1	ENSG00000151729	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	4	186064395-186071536	Disease related genes, FDA approved drug targets, Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA060665	Uncertain			Group enriched	10	heart muscle: 583.3;skeletal muscle: 583.2	kidney: 57.4
SLN	MGC12301, MGC125854, MGC125855	ENSG00000170290	Sarcolipin	11	107578104-107590419	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB011628	Uncertain			Tissue enriched	10	skeletal muscle: 1800.6	heart muscle: 172.3
TMEM182	FLJ30294	ENSG00000170417	Transmembrane protein 182	2	103353367-103460352	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045861	Uncertain	Uncertain	Nucleus but not nucleoli, Vesicles	Group enriched	10	heart muscle: 87.1;skeletal muscle: 61.7	prostate: 7.5
TNNT1	ANM, FLJ98147, MGC104241, NEM5, STNT, TNT, TNTS	ENSG00000105048	Troponin T type 1 (skeletal, slow)	19	55644162-55660722	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB015168, HPA058448	Supportive	Uncertain	Nucleus, Cytoplasm, Golgi apparatus	Tissue enriched	10	skeletal muscle: 3972.1	esophagus: 396.8
ASB10		ENSG00000146926	Ankyrin repeat and SOCS box containing 10	7	150872785-150884919	Disease related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA004178	Uncertain			Tissue enriched	9	skeletal muscle: 34.3	heart muscle: 3.8
FABP3	FABP11, H-FABP, MDGI, O-FABP	ENSG00000121769	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	1	31838472-31849697	Candidate cardiovascular disease genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB017830, HPA055754	Supportive	Uncertain	Golgi apparatus	Group enriched	9	heart muscle: 2098.6;skeletal muscle: 459.8	kidney: 135.5
FBP2		ENSG00000130957	Fructose-1,6-bisphosphatase 2	9	97321002-97356075	Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA012513	Uncertain			Tissue enriched	9	skeletal muscle: 267.8	stomach: 28.8
LSMEM2	C3orf45, FLJ38608	ENSG00000179564	Leucine-rich single-pass membrane protein 2	3	50316458-50325545	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA055021	Uncertain			Group enriched	9	heart muscle: 17.5;skeletal muscle: 6.9	testis: 1.3
PLCD4		ENSG00000115556	Phospholipase C, delta 4	2	219472488-219501907	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009914, HPA038139, HPA038140	Supportive	Supportive	Cytoplasm, Nuclear membrane, Plasma membrane	Tissue enriched	9	skeletal muscle: 65.6	esophagus: 7.1
RTN2	NSP2, NSPL1, SPG12	ENSG00000125744	Reticulon 2	19	45988547-46000319	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA034941, HPA034948	Supportive	Uncertain	Nucleus, Cytoplasm	Tissue enriched	9	skeletal muscle: 192.3	placenta: 22.3
SCN4A	HYKPP, HYPP, Nav1.4, SkM1	ENSG00000007314	Sodium channel, voltage-gated, type IV, alpha subunit	17	62015914-62050278	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA053992	Uncertain	Uncertain	Nucleus but not nucleoli, Microtubule organizing center	Group enriched	9	adipose tissue: 15.4;skeletal muscle: 53.6	thyroid gland: 3.7
